ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
438.220,0,0,0,0,,0,0,1
438.221,0,0,0,0,,0,0,1
438.222,0,0,0,1,,0,0,1
438.223,0,0,0,0,,0,0,1
438.224,0,0,0,0,,1,0,1
438.225,0,0,0,0,,0,0,1
438.226,0,0,0,1,,0,0,1
438.227,0,0,0,0,,0,0,1
438.228,0,1,0,0,,0,0,1
438.229,0,0,0,0,,0,0,1
438.230,0,0,0,0,,0,0,1
438.231,0,0,0,0,,0,0,1
438.232,0,0,0,0,,0,0,1
438.233,0,0,0,0,,1,0,1
438.234,0,0,0,0,,0,0,1
438.235,0,0,1,1,,0,1,1
438.236,0,0,1,1,,0,0,1
438.237,0,0,0,1,,0,0,1
438.238,0,0,0,0,,0,0,1
438.239,0,0,0,0,,0,0,1
438.240,0,0,1,1,,0,0,1
438.241,0,0,0,0,,0,0,1
438.242,0,0,1,1,,1,1,1
438.243,0,0,1,1,,0,0,1
438.244,0,0,0,0,,0,0,1
438.245,0,0,0,0,,0,0,1
438.246,0,0,0,0,,0,0,1
438.247,0,0,0,0,,0,0,1
438.248,0,0,0,0,,0,0,1
438.249,0,0,0,0,,0,0,1
438.250,0,1,1,1,,0,0,1
438.251,0,0,0,0,,0,0,1
438.252,0,0,0,0,,0,1,1
438.253,0,0,1,1,,0,1,1
438.254,0,0,0,0,,0,1,1
438.255,0,1,0,1,,0,1,1
438.256,0,0,0,1,,1,1,1
438.257,0,0,0,0,,0,1,1
438.258,0,0,0,0,,0,0,1
438.259,0,1,0,1,,0,0,1
438.260,0,0,0,0,,0,0,1
438.261,0,0,0,0,,0,0,1
438.262,0,0,0,0,,0,0,1
438.263,0,1,1,1,,1,1,1
438.264,0,0,0,1,,0,1,1
438.265,0,0,1,1,,0,0,1
438.266,0,0,1,1,,1,0,1
438.267,0,0,0,0,,0,1,1
438.268,0,0,1,1,,0,0,1
438.269,0,0,1,1,,0,0,1
438.270,0,1,0,0,,1,1,1
438.271,0,0,1,1,,1,1,1
438.272,0,0,1,0,,0,0,1
438.273,0,0,0,0,,0,0,1
438.274,0,0,0,0,,0,1,1
438.275,0,1,1,1,,0,1,1
438.276,0,0,0,1,,0,1,1
438.277,0,0,0,0,,0,0,1
438.278,0,0,1,1,,0,1,1
438.279,0,1,1,1,,1,1,1
438.280,0,0,0,0,,0,0,1
438.281,0,0,0,0,,0,0,1
438.282,0,0,1,1,,1,1,1
438.283,0,0,0,0,,1,0,1
438.284,0,0,0,1,,0,0,1
438.285,0,0,0,0,,0,0,1
438.286,0,0,0,0,,0,0,1
438.287,0,0,0,0,,0,0,1
438.288,0,0,0,0,,0,0,1
438.289,0,0,0,0,,0,0,1
438.290,0,0,0,1,,1,1,1
438.291,0,0,0,0,,0,0,1
438.292,0,1,0,0,,0,0,1
438.293,0,0,1,1,,0,1,1
438.294,0,0,0,0,,0,0,1
438.295,0,0,0,1,,0,1,1
438.296,0,1,0,0,,0,0,1
438.297,0,0,1,1,,0,0,1
438.298,0,1,0,1,,1,1,1
438.299,0,0,1,0,,0,0,1
438.300,0,0,0,0,,0,0,1
438.301,0,0,1,0,,0,0,1
438.302,0,0,0,0,,0,0,1
438.303,0,0,0,0,,0,0,1
438.304,0,0,0,0,,0,0,1
438.305,0,0,0,0,,1,1,1
438.306,0,0,0,0,,0,0,1
438.307,0,0,0,0,,0,0,1
438.308,0,1,0,1,,1,1,1
438.309,0,1,0,1,,1,1,1
438.310,0,0,0,1,,0,0,1
438.311,0,0,0,0,,1,0,1
438.312,0,1,0,0,,0,0,1
438.313,0,0,0,0,,0,0,1
438.314,0,0,0,0,,0,0,1
438.315,0,0,0,0,,1,1,1
438.316,0,0,0,1,,1,1,1
438.317,0,0,0,0,,1,0,1
438.318,0,0,0,0,,0,0,1
438.319,0,0,0,1,,0,1,1
438.320,0,0,0,0,,0,0,1
438.321,0,0,0,0,,0,0,1
438.322,0,0,0,0,,0,0,1
438.323,0,0,0,0,,0,0,1
438.324,0,0,0,0,,0,0,1
438.325,0,1,0,0,,0,0,1
438.326,0,0,0,0,,0,0,1
438.327,0,0,0,0,,0,0,1
438.328,0,0,0,0,,0,0,1
438.329,0,0,0,0,,0,0,1
438.330,0,0,0,1,,0,0,1
438.331,0,1,0,1,,0,1,1
438.332,0,0,0,0,,1,0,1
438.333,0,0,0,0,,0,0,1
438.334,0,0,0,0,,0,0,1
438.335,0,0,1,0,,0,1,1
438.336,0,0,1,1,,0,1,1
438.337,0,0,0,0,,1,1,1
438.338,0,0,0,0,,0,1,1
438.339,0,1,0,1,,0,1,1
438.340,0,0,0,1,,0,1,1
438.341,0,0,0,1,,1,1,1
438.342,0,0,0,0,,0,0,1
438.343,0,0,0,1,,0,1,1
