ROI,Oxy,Trhr,GRP ,CCK,SP ,NMB ,NKB ,Oxo
444.269,0,0,1,0,1,0,0,0
444.282,0,0,0,0,1,0,0,0
444.283,0,0,1,0,0,0,0,0
444.285,0,0,1,0,0,1,0,0
444.286,0,0,1,0,0,1,0,0
444.287,0,1,1,0,0,0,0,0
444.292,0,0,0,0,0,0,0,1
444.296,0,0,0,1,0,0,0,0
444.297,1,0,1,0,1,1,0,0
444.298,0,1,0,0,0,0,0,0
444.299,0,1,0,0,0,0,0,0
444.3,0,1,0,0,0,0,0,0
444.302,0,0,0,0,0,0,0,1
444.304,0,0,0,0,0,0,0,1
444.305,0,0,0,0,0,0,0,1
444.307,0,1,0,0,0,0,0,0
444.308,1,0,0,0,0,0,0,1
444.309,1,0,0,1,0,0,0,1
444.31,1,0,0,1,0,0,0,1
444.312,1,0,0,1,0,0,0,1
444.314,1,0,0,0,0,0,0,0
444.315,0,1,0,0,0,0,0,0
444.316,0,1,0,0,0,0,0,0
444.317,1,1,0,0,1,0,0,1
444.318,0,1,0,0,0,0,0,0
444.319,0,1,0,0,0,0,0,0
444.323,0,0,1,0,1,0,0,0
444.324,1,0,0,0,0,0,0,1
444.325,1,0,0,1,0,0,0,1
444.326,1,0,0,1,0,0,0,1
444.327,1,0,0,1,0,0,0,1
444.328,1,0,0,0,0,0,0,0
444.329,0,0,0,0,0,0,0,1
444.33,0,1,0,0,0,0,0,0
444.35,0,0,0,0,1,0,0,0
444.358,1,0,0,0,0,0,0,0
444.362,0,1,0,0,0,0,0,0
444.377,0,1,0,0,0,0,0,0
444.418,0,1,0,0,0,0,0,0
438.015,0,0,1,0,0,1,0,1
438.016,1,0,0,0,0,0,0,0
438.02,1,0,0,0,0,0,0,0
438.022,0,0,1,0,0,1,0,0
438.024,0,0,0,1,1,0,0,0
438.03,0,0,1,0,1,0,0,0
438.033,0,0,0,1,0,0,0,0
438.035,0,0,1,0,1,0,0,0
438.038,0,0,0,0,0,0,0,1
438.044,0,0,0,1,0,0,0,0
438.051,0,0,1,0,0,0,0,0
438.055,0,0,1,0,1,0,0,0
438.069,1,0,0,0,1,1,0,0
438.07,0,1,0,0,1,0,0,0
438.071,0,0,1,1,1,0,0,0
438.074,0,0,0,1,0,1,0,0
438.075,0,0,1,0,1,0,0,0
438.084,0,0,0,0,1,0,0,0
438.098,0,0,0,0,1,0,0,0
438.105,0,0,1,1,1,0,0,0
438.106,1,0,0,0,1,1,0,0
438.108,0,0,0,0,1,0,0,0
438.123,0,0,1,0,1,0,0,0
438.126,0,0,0,0,1,0,0,0
438.128,1,0,0,0,1,0,0,0
438.135,0,0,0,0,0,0,0,1
438.137,0,0,0,0,1,0,0,0
438.144,0,0,1,0,0,0,0,0
438.163,0,0,0,0,0,0,0,1
438.181,0,1,0,0,0,0,0,1
438.193,0,0,1,0,1,1,0,0
438.196,0,0,0,0,1,0,0,0
438.202,0,1,0,0,0,0,0,0
438.214,0,0,1,0,1,0,0,0
438.216,0,0,0,0,0,0,0,1
438.221,0,0,0,0,0,0,0,1
438.228,0,0,0,0,0,1,0,1
438.233,0,0,0,0,0,1,0,1
438.24,0,0,0,0,1,0,0,0
438.242,0,0,1,1,0,0,0,0
438.249,1,0,0,0,0,0,0,1
438.25,0,0,0,0,1,0,0,0
438.254,0,0,0,1,0,0,0,0
438.256,0,0,1,0,0,1,0,0
438.263,0,0,1,0,0,1,0,0
438.269,0,0,0,0,0,0,0,1
438.27,0,0,0,0,1,0,0,0
438.282,0,0,1,0,0,1,0,0
438.294,0,0,0,0,0,0,0,1
438.305,0,0,0,0,1,0,0,0
438.309,0,0,0,1,0,1,0,0
438.314,0,0,0,0,0,0,0,1
438.315,0,0,1,1,1,0,0,0
438.317,0,0,1,0,1,0,0,0
438.319,0,0,1,0,1,0,0,0
438.322,0,1,0,0,0,0,0,0
438.324,0,0,0,0,1,0,0,0
438.327,0,0,1,0,0,1,0,1
438.329,0,1,0,0,0,0,0,0
438.34,0,0,0,0,1,0,0,0
438.341,0,0,0,0,1,0,0,0
438.342,0,0,1,0,0,0,0,0
438.343,0,0,1,0,0,1,0,0
438.344,0,0,0,0,1,0,0,0
438.349,0,0,0,0,0,0,0,1
438.351,0,0,0,0,0,0,0,1
438.357,0,0,1,0,0,1,0,1
438.367,0,1,1,0,0,0,0,0
438.374,0,0,0,0,0,0,0,1
438.384,0,0,0,0,0,0,0,1
438.389,1,1,0,0,0,0,0,0
438.39,0,0,0,0,0,0,0,1
438.392,0,0,1,0,0,1,0,0
438.394,0,0,0,0,0,0,0,1
438.396,0,0,0,0,0,0,0,1
438.398,0,0,0,1,0,0,0,1
438.401,1,0,0,0,0,0,0,1
438.402,1,0,0,0,0,0,0,1
438.403,0,0,0,0,0,0,0,1
438.404,1,0,0,0,0,0,0,1
438.407,0,0,0,0,0,0,0,1
438.408,0,0,0,0,0,0,0,1
438.409,0,0,0,0,0,0,0,1
438.41,0,0,0,0,0,0,0,1
438.411,0,0,0,1,0,0,0,0
438.412,0,0,0,1,0,0,0,0
438.413,1,0,0,0,0,0,0,0
438.415,0,0,0,0,1,0,0,0
438.417,1,0,0,0,0,0,0,0
438.436,0,1,1,0,0,1,0,0
438.448,0,0,0,0,1,0,0,0
438.45,0,0,0,0,0,0,0,1
438.455,0,0,0,0,0,0,0,1
438.456,0,0,0,0,0,0,0,1
438.457,1,0,0,0,0,0,0,0
438.459,0,1,0,0,0,0,0,0
438.462,1,0,0,0,0,0,0,1
438.463,1,1,0,0,0,0,0,1
438.478,0,0,0,0,0,0,0,1
438.479,0,0,0,0,0,0,0,1
438.486,0,1,0,0,0,0,0,0
438.491,0,1,0,0,0,0,0,0
438.493,0,1,1,0,0,1,0,0
438.497,0,0,0,0,0,0,0,1
438.498,0,1,0,0,0,0,0,0
438.512,0,0,0,0,0,1,0,0
